fid,left,top,right,bottom,plot_id,xcoord,ycoord,Number_Burrows,Area_Surveyed,Radius,NN_Elevation,NN_slope,NN_aspect,NN_NDVI,NN_SAVI,Bi_Elevation,Bi_slope,Bi_aspect,Bi_NDVI,Bi_SAVI,col,cor_Radius,WeightedBuff_Elevation,WeightedBuff_slope,WeightedBuff_NDVI,WeightedBuff_SAVI,geometry
847,-699966.4662,7757297.241,-699866.4662,7757197.241,P_847,-699916.4662,7757247.241,77,314,10,557.8756028201502,27.824685877144496,28.84854695091501,0.6128294349308719,800.6937632119481,552.0077457497264,27.033652882382054,27.24323194054402,0.6263205544563691,816.5640431222074,2,8.843799505112234,555.0829111337438,27.472149415607106,0.6222778258780527,803.1830731342025,"c(664818.348858472, 6319094.30544484)"
848,-699966.4662,7757197.241,-699866.4662,7757097.241,P_848,-699916.4662,7757147.241,92,314,10,571.2953295089404,26.093319380788678,31.61686608745302,0.5892872497486322,792.2407904034127,575.2074769129861,26.152827699633864,31.622332374956937,0.6333705044424945,742.5572494214248,2,8.980788660358854,574.5320812734924,26.17882496397665,0.6288801296524836,747.4130028529876,"c(664820.512378384, 6319039.84758067)"
849,-699966.4662,7757097.241,-699866.4662,7756997.241,P_849,-699916.4662,7757047.241,123,314,10,597.3283125976071,27.29684542596021,30.541973191708987,0.6360897105110559,661.8432650175754,597.4877117028624,29.68996060566313,28.540230677313836,0.655065980698072,620.3859357742049,2,8.886424834992585,594.5361706498848,27.459272922758956,0.6593709091942368,637.9149115522446,"c(664822.675914599, 6318985.38900388)"
850,-699966.4662,7756997.241,-699866.4662,7756897.241,P_850,-699916.4662,7756947.241,141,314,10,636.9645878175887,37.31989986626116,35.455952469949075,0.6884096280130759,374.2165443847966,638.6517001918086,39.05550513187515,32.514174693903335,0.6867025407660104,392.93066446240016,2,7.952629620876741,639.5679378372517,38.95586960028466,0.6882721289992464,386.2504446415654,"c(664824.839467115, 6318930.92971446)"
863,-699966.4662,7755697.241,-699866.4662,7755597.241,P_863,-699916.4662,7755647.241,78,314,10,514.6550397886284,28.104151083515703,45.30542802196195,0.5550390598349155,734.6310529991792,512.0190680751513,25.802839702243084,45.59265071066214,0.5356790556638391,765.5942983073592,2,8.820927388564888,513.3227673033316,27.026403433549135,0.5436508627806693,746.3165911315161,"c(664852.967133137, 6318222.89410002)"
869,-699966.4662,7755097.241,-699866.4662,7754997.241,P_869,-699916.4662,7755047.241,89,314,10,619.8053192359909,27.871332929394512,66.78368268696202,0.6098046366126959,616.8393343758361,621.0748988505813,28.049981462210308,73.01328510923285,0.6224928129196962,632.3100944298757,2,8.839996410157568,620.9556033810952,28.03419188794083,0.6212248903908896,630.0173174786271,"c(664865.950061783, 6317896.06780826)"
871,-699966.4662,7754897.241,-699866.4662,7754797.241,P_871,-699916.4662,7754847.241,93,314,10,613.0364052866319,30.66471808358177,116.79403750351547,0.5795389491441333,684.896048732484,610.6743953555974,30.140738069862213,115.57023070652708,0.5724265671727117,687.2124611614076,2,8.601664935335663,610.9446270209523,30.202030051499797,0.5745700363197912,685.7200922018947,"c(664870.277835019, 6317787.12000917)"
885,-699866.4662,7757697.241,-699766.4662,7757597.241,P_885,-699816.4662,7757647.241,11,314,10,468.97448190225833,19.706098627346066,11.128484076366052,0.4500800807912858,746.4417226437002,465.6341508696222,17.842871825646274,21.51729391815643,0.45413126021151573,751.6698070527782,2,9.414346586795832,466.08414751239764,18.071562764062545,0.453796588594678,750.6394405446424,"c(664864.25852473, 6319314.2979089)"
886,-699866.4662,7757597.241,-699766.4662,7757497.241,P_886,-699816.4662,7757547.241,39,314,10,482.97303077826876,24.15003673508684,12.28249001275121,0.5155149174227387,762.161515395166,487.1876453081103,24.431633304767765,14.043821912983047,0.5269371179425796,757.0718813253081,2,9.124772318371392,484.7505259788856,24.257857393948072,0.5207148402986799,759.8456537048942,"c(664866.42269632, 6319259.84291164)"
887,-699866.4662,7757497.241,-699766.4662,7757397.241,P_887,-699816.4662,7757447.241,112,314,10,511.52442779277385,21.87116797082632,15.925553420600597,0.46117065579359806,752.0559125788507,511.4573535850053,21.872917517963632,16.937999624147334,0.47197462008874524,756.2814523192696,2,9.280238290297312,510.85026917114016,22.42956642591262,0.47600337521884684,743.3956276815569,"c(664868.586884221, 6319205.38720178)"
